,district,data_street,rooms,area,price_eur,period,cur_floor,total_floor,lift,seria,house_type,facilities,len,lon,wifi
0,центр,Авоту 11,2,56.0,380,30,5,6,0,Дов. дом,Каменный,Балкон,56.9507941,24.1291509,0
1,Зиепниеккалнс,Озолциема 28,1,36.0,230,30,8,9,1,602-я,Панельный,"Лоджия, Парковочное место",56.8993465,24.0965117,0
2,центр,Миера 23,1,29.0,370,30,1,3,0,Дов. дом,Деревянный,,56.9631206,24.1312416,0
3,Кенгарагс,Прушу 13,1,29.0,230,30,4,4,0,Хрущ.,Кирпичный,,56.91353902177565,24.18879974792559,0
4,Дарзциемс,Пилдас 44a,1,25.0,250,30,2,3,0,Ч. дом,Кирпичный,Парковочное место,56.9423826,24.1903993,0
5,центр,Матиса 80,2,40.0,380,30,2,5,0,Дов. дом,Кирпичный,,56.9510562,24.1459753,0
6,центр,Чака 117/1,3,67.0,510,30,2,6,1,Рекон.,Каменный,Парковочное место,56.9591716,24.1410583,0
7,Иманта,Слокас 205,2,49.0,360,30,5,5,0,Лит. пр.,Панельный,Лоджия,56.9630003,24.0093281,0
8,центр,Гертрудес 9,3,144.0,850,30,1,7,0,Дов. дом,Каменный,,56.9584131,24.121237,0
9,Югла,Малиенас 74,2,47.0,300,30,3,5,0,Лит. пр.,Кирпично-панельный,Лоджия,56.9758794,24.2512046,0
10,центр,Матиса 18,3,72.0,500,30,4,5,0,Дов. дом,Каменный,Парковочное место,56.9574978,24.1318607,0
11,Иманта,Курземес пр. 154,2,50.0,300,30,5,9,1,602-я,Панельный,Лоджия,56.9572301,23.9989445,0
12,Кенгарагс,Маскавас 285/5,2,44.0,380,30,4,5,0,Лит. пр.,Панельный,"Балкон, Парковочное место",56.9172742,24.1757799,0
13,Шампетерис-Плескодале,Волгунтес 3-20,2,54.0,250,30,3,3,0,Дов. дом,Каменный,,56.9403014,24.0495656,0
14,Дарзциемс,Дарзциема 131,3,65.0,370,30,5,5,0,103-я,Кирпично-панельный,Лоджия,56.9320302,24.1821518,0
15,центр,Стабу 46,2,40.0,350,30,1,6,0,Дов. дом,Каменный,,56.9545063,24.1316496,0
16,Агенскалнс,Слокас 30a,2,52.0,420,30,3,4,0,Рекон.,Каменный,,56.9493512,24.0718774,0
17,Пурвциемс,Дзелзавас 33,1,31.0,240,30,4,5,0,Лит. пр.,Панельный,Балкон,56.9602191,24.180999,0
18,центр,Лачплеша 98,1,27.0,290,30,2,6,1,Спец. пр.,Кирпично-панельный,,56.9443959,24.1323473,0
19,Иманта,Даммес 34,1,36.0,300,30,6,9,1,602-я,Панельный,Парковочное место,56.9650094,24.0104761,0
20,Золитуде,Биезиня 4,1,43.0,250,30,1,9,1,119-я,Панельный,Лоджия,56.9446598,24.0202315,0
21,центр,Авоту 1,2,41.0,500,30,2,5,1,Рекон.,Каменный,,56.951159935461384,24.126975748041026,0
22,Югла,Квелес 33,3,60.0,280,30,4,5,0,Лит. пр.,Панельный,"Балкон, Парковочное место",56.9827242377972,24.248309428295926,0
23,Саркандаугава,Приежу 3,1,38.0,200,30,2,3,0,М. сем.,Панельный,"Балкон, Лоджия, Парковочное место",56.9942886,24.126521,0
24,Тейка,Бривибас гатве 219,4,99.0,600,30,3,4,0,Дов. дом,Каменный,Парковочное место,56.9754717,24.1732492,0
25,Плявниеки,Руденс 9,1,35.0,270,30,1,9,1,602-я,Панельно-кирпичный,"Балкон, Парковочное место",56.9386493327208,24.201478358018747,0
26,Агенскалнс,Мартиня 8,2,65.0,550,30,4,4,0,Дов. дом,Деревянный,,56.947956,24.070925,0
27,центр,Элку 5,2,54.0,400,30,1,3,0,Ч. дом,Каменный,,56.9672468,24.1446705,0
28,Югла,Видземес 3,1,36.0,270,30,9,12,0,Чеш. пр.,Кирпично-панельный,,56.98102,24.2181421,0
29,Кенгарагс,Глудас 10,3,58.0,350,30,4,5,0,Хрущ.,Панельный,Балкон,56.912893,24.1751394,0
30,Золитуде,Ирлавас 34,1,41.0,350,30,2,2,0,Нов.,Кирпичный,Парковочное место,56.94077864959923,24.030077313659664,0
31,Пурвциемс,Дудаева Г. 3,1,30.0,200,30,3,5,0,Лит. пр.,Панельный,,56.9579094,24.1933893,0
32,р-он ул. Маскавас,Даугавпилс 47,1,43.0,210,30,2,4,0,Дов. дом,Кирпичный,,56.9452985,24.1408407,0
33,Плявниеки,Лубанас 61,1,20.0,190,30,2,2,0,Ч. дом,Кирпичный,,56.9317644,24.1842483,0
34,Иманта,Даммес 6,2,50.0,30,1,4,9,1,602-я,Панельный,"Лоджия, Парковочное место",56.9617211,24.0145205,0
35,Плявниеки,Деглава 152,3,62.0,360,30,2,9,0,602-я,Панельный,,56.944754,24.2144274,0
36,Пурвциемс,Мадонас 21,2,62.0,500,30,6,16,1,Спец. пр.,Каменный,"Лоджия, Парковочное место",56.9610482,24.1709057,0
37,центр,Маскавас 11,1,22.0,190,30,2,2,0,Дов. дом,Деревянный,,56.940799,24.121573,0
38,центр,Авоту 1,1,20.0,340,30,3,5,0,Рекон.,Каменный,,56.95114677791752,24.127056674791685,0
39,Дарзциемс,Зелтиню 25,2,50.0,270,30,2,5,0,103-я,Кирпично-панельный,,56.9471755,24.1711529,0
40,Саркандаугава,Какясекля Д. 20,1,24.0,200,30,1,3,0,Дов. дом,Кирпичный,Парковочное место,56.979256,24.0994678,0
41,Тейка,Раунас 36,3,54.0,500,30,5,5,0,Рекон.,Кирпичный,"Балкон, Парковочное место",56.9688413,24.1793392,0
42,Межциемс,Лидума 8,2,50.0,330,30,1,5,0,Лит. пр.,Панельный,"Лоджия, Парковочное место",56.9732017,24.2328945,0
43,центр,Пулкв. Бриежа 13,3,91.0,800,30,3,6,1,Рекон.,Каменный,,56.9605456,24.1053737,0
44,центр,Бривибас 91,3,58.0,760,30,3,6,1,Рекон.,Каменный,Парковочное место,56.9607126,24.1314702,0
45,центр,Красотаю 29,2,40.0,260,30,2,2,0,Дов. дом,Деревянный,,56.9566676,24.1472167,0
46,Ильгюциемс,Реньгес 2b,1,15.0,140,30,1,5,0,Лит. пр.,Панельный,Лоджия,56.9660461,24.0620545,0
47,Чиекуркалнс,Чиекуркална 4 п. л. 12,1,39.0,235,30,6,9,1,Спец. пр.,Кирпичный,"Лоджия, Парковочное место",56.98561,24.17073,0
48,Пурвциемс,Стайцелес 1/1,2,51.0,250,30,9,9,0,602-я,Панельный,"Лоджия, Парковочное место",56.9583558,24.1689366,0
49,р-он ул. Маскавас,Лудзас 52,2,55.0,350,30,2,5,0,Дов. дом,Каменный,,56.940512,24.1479933,0
50,центр,Садовникова 11,2,46.0,450,30,5,5,0,Дов. дом,Кирпичный,,56.9425015,24.1298291,0
51,Вецрига,13 января 21,2,55.0,850,30,2,6,1,Нов.,Панельно-кирпичный,,56.9453306,24.1116759,1
52,Болдерая,Гобас 34,2,52.0,300,30,5,5,0,103-я,Кирпично-панельный,Балкон,57.0282637,24.0555598,0
53,Плявниеки,Сахарова 17,1,47.0,250,30,2,2,1,104-я,Панельный,"Лоджия, Парковочное место",56.9371326,24.201922,0
54,Гризинькалнс,Таллинас 79,4,90.0,750,30,2,5,0,Дов. дом,Кирпичный,Парковочное место,56.9569869,24.1479414,0
55,Плявниеки,Илукстес 26,1,38.0,300,30,4,5,0,М. сем.,Кирпично-панельный,Лоджия,56.9429737,24.1962903,0
56,Зиепниеккалнс,Зиепниеккална 12,2,56.0,450,30,1,4,1,Нов.,Кирпично-панельный,"Балкон, Парковочное место",56.9111073,24.1256544,0
57,центр,Валдемара 15,1,42.0,360,30,4,5,0,Рекон.,Кирпичный,Парковочное место,56.95595060149878,24.11185575696737,0
58,центр,Валдемара 41a,2,43.0,800,30,2,7,1,Нов.,Каменный,,56.95892262170677,24.11695860243934,0
59,Пурвциемс,Унияс 35а,1,23.0,200,30,1,2,0,Спец. пр.,Каменный,,56.9682042,24.1699003,0
60,центр,Маскавас 48a,2,45.0,40,1,2,5,0,Рекон.,Каменный,,56.939543,24.1240664,1
61,Югла,Мурьяню 66,2,34.0,300,30,3,4,0,Рекон.,Кирпичный,Парковочное место,56.9782923,24.2641599,0
62,Пурвциемс,Ницгалес 46,3,62.0,295,30,6,9,0,602-я,Панельный,"Лоджия, Парковочное место",56.9459198,24.1712466,0
63,Агенскалнс,Валгума 6,1,30.0,200,30,1,3,0,Дов. дом,Кирпичный,Парковочное место,56.9415984,24.0938019,0
64,Плявниеки,Ясмуйжас 6,2,50.0,300,30,5,9,1,602-я,Панельный,Балкон,56.9369499,24.2092176,0
65,Плявниеки,Илукстес 8,2,50.0,350,30,6,9,1,602-я,Панельный,Лоджия,56.9354442,24.1959312,0
66,Торнякалнс,Оливу 5,1,22.0,295,30,2,3,0,Рекон.,Деревянный,,56.9246593,24.0870155,0
67,центр,Авоту 23a,2,52.0,50,1,2,2,0,Дов. дом,Кирпичный,,56.950631694174604,24.131823228992666,1
68,центр,Чака 113,2,43.0,550,30,5,5,0,Рекон.,Каменный,,56.9588554,24.1407622,0
69,центр,Стабу 68,1,36.0,180,7,1,2,0,Дов. дом,Деревянный,,56.9523517,24.1363196,0
70,Торнякалнс,Оливу 5,3,78.0,400,30,3,3,0,Рекон.,Деревянный,,56.9246593,24.0870155,0
71,центр,Миера 39,3,87.0,870,30,2,5,0,Дов. дом,Каменный,,56.9647246,24.1324175,0
72,Агенскалнс,Вентспилс 63c,1,22.0,340,30,3,3,0,Нов.,Панельный,,56.9343495,24.0449839,1
73,центр,Элизабетес 2a,3,66.0,520,30,5,5,0,Рекон.,Каменный,,56.9581372,24.1080974,0
74,Межапарк,Стендера 17a,2,42.0,450,30,2,2,0,Сталинка,Каменный,,56.99485642027146,24.1551014133845,0
75,Агенскалнс,Вентспилс 63c,1,16.0,335,1,1,3,0,Нов.,Кирпично-панельный,,56.9343495,24.0449839,1
76,Зиепниеккалнс,Саулкалнес 7,2,45.0,315,30,2,5,0,Лит. пр.,Кирпично-панельный,,56.9147939,24.0986737,0
77,Саркандаугава,Слиежу 29/1,1,30.0,220,30,1,3,0,Спец. пр.,Кирпичный,,57.0075998,24.1244534,0
78,центр,Чака 44,1,45.0,260,7,1,5,0,Дов. дом,Кирпичный,,56.9535801,24.1318057,0
79,Плявниеки,Улброкас 12,2,60.0,500,30,4,7,1,Нов.,Каменный,"Балкон, Парковочное место",56.9410324,24.2173516,0
80,центр,Чака 44,1,30.0,30,1,1,5,0,Дов. дом,Кирпичный,,56.9535801,24.1318057,0
81,Кенгарагс,Прушу 17a,1,18.0,250,30,3,4,0,М. сем.,Кирпично-панельный,,56.9133296,24.1906592,0
82,центр,Рупниецибас 25,3,82.0,1300,30,3,6,1,Нов.,Панельно-кирпичный,"Балкон, Лоджия, Парковочное место",56.9659201,24.1040141,0
83,Золитуде,Русес 3,4,90.0,530,30,6,9,0,119-я,Панельный,Лоджия,56.9486091,24.0016235,0
84,р-н ул.Краста,Салацас 16,1,50.0,39,1,10,16,1,104-я,Панельный,,56.9282413,24.1700327,0
85,Агенскалнс,Вентспилс 13b,1,29.0,270,30,2,2,0,Ч. дом,Деревянный,,56.9338781,24.0707257,0
86,Пурвциемс,Иерикю 36,2,48.0,330,30,3,5,0,Спец. пр.,Кирпичный,"Балкон, Парковочное место",56.9652594,24.1733959,0
87,Тейка,Бикерниеку 15a,2,53.0,300,30,3,4,0,Дов. дом,Каменный,Парковочное место,56.9713337,24.1699263,0
88,центр,Лачплеша 17,2,76.0,490,30,5,6,0,Дов. дом,Каменный,,56.956128,24.1222414,0
89,центр,Гоголя 10,3,110.0,500,30,3,5,0,Дов. дом,Кирпичный,,56.9428008,24.1245455,0
90,Зиепниеккалнс,Картупелю 14,1,35.0,15,1,1,3,0,Ч. дом,Кирпичный,Балкон,56.9138513,24.1010058,1
91,Пурвциемс,Дзелзавас 108,2,47.0,550,30,7,7,0,Нов.,Каменный,Балкон,56.9524773,24.2128825,0
92,центр,Антонияс 16a,4,118.0,2150,30,7,7,1,Нов.,Кирпично-панельный,Балкон,56.9596316,24.1133828,0
93,центр,Алаукста 12,1,25.0,350,30,2,5,0,Дов. дом,Каменный,,56.96034415525476,24.149974422325958,0
94,центр,Грециниеку 20,2,87.0,600,30,4,6,0,Рекон.,Каменный,,56.946743,24.108114,0
95,Кенгарагс,Локомотивес 80,2,45.0,200,30,3,5,0,Хрущ.,Панельный,"Балкон, Парковочное место",56.9027195,24.2123543,0
96,центр,Артилерияс 35,3,60.0,600,30,4,5,0,Рекон.,Каменный,Парковочное место,56.95752329566861,24.142847514188674,0
97,Агенскалнс,Лиепаяс 34,4,73.0,700,30,4,4,1,Рекон.,Каменный,Парковочное место,56.9313947,24.0706404,0
98,центр,Стабу 35,2,56.0,250,30,1,4,0,Дов. дом,Кирпичный,,56.9559895,24.1295186,0
99,центр,Матиса 85a,1,20.0,270,30,2,2,0,Спец. пр.,Деревянный,,56.9526634,24.1430193,0
100,центр,Гертрудес 39,3,108.0,680,30,6,6,1,Рекон.,Каменный,Балкон,56.9540868,24.1292172,0
101,центр,Барона 45/47,2,65.0,550,30,3,3,0,Дов. дом,Деревянный,,56.955543022717634,24.129616851052475,0
102,р-н ул.Краста,Лубанас 8,4,70.0,420,30,5,9,0,467-я,Панельно-кирпичный,Балкон,56.9334897,24.1617748,0
103,центр,Стабу 31,4,110.0,880,30,3,6,0,Дов. дом,Кирпичный,Балкон,56.95620839304584,24.12880405833299,0
104,центр,Матиса 137,2,43.0,210,30,1,4,0,Ч. дом,Кирпичный,Парковочное место,56.9485462,24.1519238,0
105,центр,Гертрудес 121,2,31.0,390,30,3,6,0,Нов.,Каменный,Парковочное место,56.94856640348353,24.140508454147618,0
106,Агенскалнс,Лиепаяс 34,4,73.0,700,30,4,4,1,Рекон.,Каменный,Парковочное место,56.9313947,24.0706404,0
107,Пурвциемс,Стирну 48,1,50.0,200,30,1,5,0,М. сем.,Панельный,,56.9642554,24.1954081,0
108,Вецмилгравис,Эммас 5,3,70.0,250,30,4,5,0,Лит. пр.,Панельный,"Лоджия, Парковочное место",57.028692,24.1082846,0
109,Агенскалнс,Лиепаяс 34,4,73.0,700,30,4,4,0,Рекон.,Каменный,Парковочное место,56.9313947,24.0706404,0
110,центр,Блауманя 11/13,0,223.0,780,30,4,5,1,Дов. дом,Кирпичный,,56.953724,24.1240772,0
111,центр,Стрелниеку 2a,5,178.0,1500,30,2,6,1,Дов. дом,Каменный,,56.9588216,24.1069679,0
112,центр,Лиенес 15,2,40.0,200,30,2,2,0,Ч. дом,Деревянный,,56.9529104,24.1479755,0
113,центр,Авоту 61,1,25.0,115,30,1,2,0,Ч. дом,Деревянный,Парковочное место,56.9529481,24.1430547,0
114,Чиекуркалнс,Чиекуркална 4 п. л. 9,1,33.0,300,30,1,5,0,Нов.,Кирпично-панельный,Парковочное место,56.98561,24.17073,0
115,р-он ул. Маскавас,Даугавпилс 53,1,25.0,120,30,3,4,0,Ч. дом,Кирпично-панельный,,56.946009,24.1407968,0
116,центр,Деглава 18,1,26.0,100,30,2,4,0,Ч. дом,Кирпичный,,56.9535125,24.1511996,0
117,центр,Деглава 18,2,32.0,140,30,3,4,0,Ч. дом,Кирпичный,,56.9535125,24.1511996,0
118,центр,Мурниеку 10,1,26.0,150,30,2,2,0,Ч. дом,Кирпичный,,56.9526038,24.1462759,0
119,Кенгарагс,Е. Ранцана 10,3,59.2,400,30,3,5,0,Хрущ.,Панельный,Балкон,56.9059548,24.1824132,0
120,р-н ул.Краста,Маскавас 222,2,50.0,200,30,6,9,1,467-я,Панельный,Лоджия,56.9245426,24.1683246,0
121,Межциемс,Кайвас 50,2,40.0,380,30,3,5,0,Нов.,Панельно-кирпичный,,56.9558931,24.2451677,0
122,центр,Гертрудес 121,2,54.0,550,30,4,6,1,Рекон.,Каменный,Парковочное место,56.94847609573701,24.140510449572602,0
123,центр,Марияс 25,3,106.0,600,30,5,5,0,Дов. дом,Каменный,,56.9511653,24.1263515,0
124,Болдерая,Силикату 4,2,64.0,180,30,3,3,0,Сталинка,Кирпичный,"Балкон, Лоджия, Парковочное место",57.0282959,24.0431165,0
125,центр,Элизабетес 89,2,42.0,640,30,4,4,1,Рекон.,Каменный,Парковочное место,56.9490632,24.1229092,0
126,центр,Упес 12,1,34.0,190,30,1,4,0,Дов. дом,Кирпичный,,56.9762123,24.1434816,0
127,Плявниеки,Илукстес 26,1,32.0,230,30,4,5,0,М. сем.,Панельный,Балкон,56.9429737,24.1962903,0
128,центр,Веру 5,2,56.0,480,30,2,4,0,Дов. дом,Каменный,,56.9622041,24.1009729,0
129,Межапарк,Эзермалас 13,4,128.0,980,30,2,5,1,Нов.,Панельно-кирпичный,"Сауна, Парковочное место",56.9973435,24.1704265,0
130,Ильгюциемс,Дзирциема 31,1,35.2,200,30,3,12,1,Хрущ.,Кирпично-панельный,Парковочное место,56.9556291,24.052203,0
131,центр,Марияс 14,1,20.0,450,30,3,5,0,Рекон.,Каменный,,56.9503759,24.1251324,1
132,Агенскалнс,Нометню 47,2,55.0,375,30,6,6,0,Дов. дом,Каменный,,56.9390081,24.0729039,0
133,Тейка,Бривибас гатве 278,2,58.0,400,30,4,5,0,Дов. дом,Каменный,,56.9767481,24.1791169,0
134,центр,Звайгжню 24,1,25.0,30,1,5,6,0,Дов. дом,Каменный,,56.9608685,24.1498563,1
135,центр,Звайгжню 24,2,35.0,35,1,4,6,0,Дов. дом,Каменный,,56.9608685,24.1498563,1
136,Пурвциемс,Бранткална 14,2,60.0,250,30,8,9,1,119-я,Панельно-кирпичный,"Балкон, Лоджия",56.9488669,24.1951797,0
137,Плявниеки,Руденс 2,1,33.0,300,30,5,9,0,602-я,Панельный,"Лоджия, Парковочное место",56.93742436023976,24.196143150329593,0
138,Чиекуркалнс,Чиекуркална 3 п. л. 26,2,39.0,249,30,2,2,0,Рекон.,Деревянный,Парковочное место,56.98557,24.1680999,0
139,центр,Тербатас 63,2,82.0,500,30,5,6,1,Дов. дом,Каменный,,56.9615691,24.1342367,0
140,центр,Садовникова 39,2,63.0,440,30,4,7,1,Нов.,Кирпично-панельный,"Лоджия, Парковочное место",56.941256,24.1352332,1
141,Иманта,Зентенес 24,2,46.0,250,30,5,5,0,Лит. пр.,Панельный,Лоджия,56.9605849,24.0022124,0
142,Ильгюциемс,Гара 33,2,50.0,280,30,4,5,0,Лит. пр.,Панельный,Балкон,56.9689304,24.0519018,0
143,центр,Гертрудес 64,2,39.0,280,30,2,5,0,Дов. дом,Каменный,,56.9510387,24.1338247,0
144,Пурвциемс,Андромедас Г. 12,1,28.0,240,30,2,5,0,Лит. пр.,Панельно-кирпичный,,56.95803,24.200387,0
145,Пурвциемс,Иерикю 66,1,34.0,250,30,1,9,1,Спец. пр.,Кирпично-панельный,,56.96478976703275,24.18948563639589,0
146,Межапарк,Яуна Межапарка 34,3,92.0,1700,30,2,3,0,Нов.,Панельно-кирпичный,"Балкон, Парковочное место",56.9938612394694,24.157112242326814,0
147,Саркандаугава,Виестура пр. 69,3,55.0,350,30,5,4,0,Хрущ.,Кирпичный,Балкон,57.0057977,24.1281502,0
148,Иманта,Анниньмуйжас бульвар 41,2,65.0,750,30,13,24,1,Нов.,Каменный,,56.959055,24.0138606,0
149,Ильгюциемс,Даугавгривас 132/1,1,22.0,160,30,3,4,0,Сталинка,Кирпичный,,56.9692383,24.0721569,0
