,district,data_street,rooms,area,price_eur,period,cur_floor,total_floor,lift,seria,house_type,facilities,len,lon,wifi
302,центр,Валдемара 147 k-3,2,55.0,350,30,2,5,0,Сталинка,Кирпичный,"Балкон, Парковочное место",56.97293269527641,24.133895019081514,0
303,Агенскалнс,Алисес 8,2,46.0,400,30,3,5,0,Хрущ.,Панельный,,56.9468918,24.0667192,0
304,Вецмилгравис,Скую 5,2,51.0,300,30,4,5,0,Лит. пр.,Панельный,Лоджия,57.0304116,24.1025402,0
305,центр,Дзирнаву 70,2,49.0,650,30,2,5,0,Дов. дом,Каменный,,56.9525895,24.1219096,0
306,р-н ул.Краста,Лубанас 14,3,61.0,320,30,6,9,0,467-я,Панельный,,56.9332083,24.1626285,0
307,Кенгарагс,Прушу 23,2,50.0,370,30,1,3,0,Сталинка,Каменный,,56.910578,24.194168,0
308,центр,Стабу 81,4,110.0,750,30,1,5,0,Дов. дом,Каменный,,56.95235163320452,24.13752430420914,0
309,Межциемс,Хипократа 17,3,61.0,300,30,9,9,1,602-я,Панельный,Лоджия,56.9660004,24.2372381,0
310,центр,Чака 66a,3,74.0,450,30,5,6,0,Дов. дом,Кирпично-панельный,,56.960342,24.1397706,0
311,Пурвциемс,Илукстес 34,1,40.0,300,30,3,9,1,119-я,Панельно-кирпичный,Лоджия,56.9457118,24.1963466,0
312,Зиепниеккалнс,Озолциема 12/2,2,58.0,320,30,3,10,1,119-я,Панельный,"Балкон, Парковочное место",56.9013502,24.0854595,0
313,Торнякалнс,Мукусалас 29,2,61.0,720,30,4,4,1,Рекон.,Кирпично-панельный,,56.9371114,24.1020828,0
314,Агенскалнс,Вилипа 8,3,59.0,450,30,9,9,1,467-я,Панельный,Лоджия,56.9482513,24.0573109,0
315,Югла,Юглас 3,2,45.0,295,30,5,5,0,Лит. пр.,Кирпичный,"Балкон, Парковочное место",56.9881815,24.2433013,0
316,Кенгарагс,Локомотивес 52,1,34.0,180,30,6,12,1,Чеш. пр.,Кирпично-панельный,Лоджия,56.9082224,24.2019694,0
317,Зиепниеккалнс,Валдекю 59,2,59.0,300,30,2,10,1,119-я,Панельный,Лоджия,56.9003583,24.0903954,0
318,Зиепниеккалнс,Баускас 61,1,23.0,270,30,2,2,0,Дов. дом,Деревянный,,56.9165037,24.1074611,0
319,Зиепниеккалнс,Озолциема 56,1,33.0,280,30,3,9,1,602-я,Панельный,Лоджия,56.901247,24.1017842,0
320,Зиепниеккалнс,Виенибас Г. 192,3,79.0,620,30,3,5,1,Нов.,Каменный,"Лоджия, Парковочное место",56.8999516,24.080068,0
321,Кливерсала,Валгума 122,1,23.0,220,30,1,4,0,Дов. дом,Каменный,,56.9430699,24.08932,0
322,Кенгарагс,Крустпилс 73,1,18.0,140,30,2,3,0,М. сем.,Кирпичный,,56.9122952,24.2059307,0
323,центр,Дарзауглю 12,1,43.0,330,30,1,3,0,Дов. дом,Каменный,,56.965306,24.1523162,0
324,центр,Артилерияс 56,1,26.3,240,30,1,4,0,Дов. дом,Каменный,Парковочное место,56.9558796,24.1451271,0
325,центр,Риепниеку 2,3,68.0,550,30,2,5,0,Сталинка,Кирпично-панельный,Балкон,56.9447267,24.1239947,0
326,Кенгарагс,Маскавас 250 k-2,2,44.0,270,30,3,5,0,Хрущ.,Кирпичный,Балкон,56.9159103,24.1740664,0
327,Шампетерис-Плескодале,Улманя Г. 101,4,91.0,1300,30,1,5,0,Нов.,Панельный,"Балкон, Терраса",56.92563949095195,24.036181467799697,0
328,Пурвциемс,Упеню 19,1,40.0,400,30,1,7,1,Нов.,Панельный,"Балкон, Парковочное место",56.9606190966079,24.19264554977417,0
329,Дарзциемс,Скудру 39,1,34.0,280,30,4,5,0,103-я,Кирпично-панельный,,56.9338927,24.1911944,0
330,Болдерая,Гобас 32,1,35.0,350,30,3,5,0,103-я,Панельно-кирпичный,,57.0284957,24.0548808,0
331,центр,Асара 20,1,25.0,230,30,4,6,0,Дов. дом,Каменный,Парковочное место,56.9561724,24.1519159,0
332,Агенскалнс,Дрейлиню 18,1,30.0,280,30,4,5,0,Хрущ.,Кирпичный,Парковочное место,56.943507,24.0595129,0
333,центр,Томсона 20,2,49.0,450,30,3,5,0,Дов. дом,Каменный,,56.9646728,24.125941,0
334,Золитуде,Ростокас 44,2,52.0,200,30,1,9,0,119-я,Панельный,,56.9483836,24.0145035,0
335,Пурвциемс,Ницгалес 53b,1,33.0,260,30,5,5,0,103-я,Кирпично-панельный,Парковочное место,56.9435119,24.1747046,0
336,Агенскалнс,Кандавас 8/4,2,42.0,250,30,3,3,0,Сталинка,Кирпичный,,56.9490556,24.0497331,0
337,центр,Звайгжню 24,1,20.0,30,1,2,6,0,Рекон.,Каменный,,56.9608685,24.1498563,1
338,Вецрига,Калею 49,1,18.0,450,30,2,5,0,Рекон.,Каменный,Парковочное место,56.9464477,24.1124595,0
339,центр,Бриана 14,3,60.0,700,30,4,4,0,Дов. дом,Кирпично-панельный,,56.9676941,24.1056221,0
340,центр,Бруниниеку 93,2,43.0,500,30,4,4,0,Дов. дом,Кирпичный,Балкон,56.9511337,24.1420367,0
341,Пурвциемс,Иерикю 58,1,43.0,33,1,9,9,1,Спец. пр.,Кирпичный,"Лоджия, Парковочное место",56.9656221,24.1826857,0
342,Иманта,Даммес 4,2,50.0,45,1,4,5,0,Лит. пр.,Панельный,Лоджия,56.9615952,24.0153756,1
343,центр,Госпиталю 34a,1,35.0,340,30,2,6,0,Дов. дом,Каменный,,56.9745531,24.1390346,0
344,Пурвциемс,Вайдавас 2,2,41.0,250,30,1,5,0,Хрущ.,Кирпичный,,56.9650353,24.176484,0
345,Кенгарагс,Маскавас 268,2,47.0,270,30,4,5,0,Лит. пр.,Панельный,"Балкон, Парковочное место",56.9051579,24.1858386,0
346,Кенгарагс,Прушу 26,1,20.0,240,30,2,3,0,Рекон.,Кирпичный,Парковочное место,56.91274803106557,24.190033078193668,0
347,Плявниеки,Павасара г. 2,1,35.0,220,30,2,9,1,602-я,Панельный,Балкон,56.9346294,24.1960336,0
348,Зиепниеккалнс,Вадакстес 20,2,50.0,450,30,5,5,0,Хрущ.,Кирпичный,Балкон,56.913286,24.0957718,0
349,Вецрига,Грециниеку 11,3,86.0,700,30,4,5,0,Сталинка,Кирпичный,,56.9471215,24.1085248,0
350,Саркандаугава,Приежу 14a,1,23.0,250,30,3,3,0,Дов. дом,Деревянный,,56.99268033343579,24.12868586422349,0
351,Кенгарагс,Саласпилс 6/3,1,30.0,270,30,5,5,0,Лит. пр.,Панельный,Балкон,56.9213393,24.1794414,0
352,центр,Алаукста 16,1,35.0,305,30,4,5,0,103-я,Кирпично-панельный,Парковочное место,56.959764,24.150828,0
353,центр,Гертрудес 99,1,25.0,310,30,3,6,0,Дов. дом,Каменный,,56.9499971,24.1363975,0
354,центр,Таллинас 86,1,29.8,415,30,4,5,0,Рекон.,Кирпичный,,56.956687,24.148193,0
355,центр,Бривибас 156 k1,1,30.0,230,30,3,5,0,Хрущ.,Каменный,,56.9652394,24.1426673,0
356,Плявниеки,Салнас 21,2,47.0,420,30,4,9,1,Нов.,Панельный,Лоджия,56.9422573,24.2279353,0
357,центр,Валдемара 145,1,15.0,170,30,1,6,0,Хрущ.,Кирпично-панельный,,56.9706542,24.132873,0
358,Засулаукс,Кандавас 8/8,2,41.0,220,30,4,5,0,Хрущ.,Кирпичный,Парковочное место,56.948209,24.0490709,0
359,центр,Стрелниеку 4b,1,32.0,700,30,1,6,0,Нов.,Кирпичный,Терраса,56.9607033,24.1106004,0
360,Кенгарагс,Локомотивес 98,2,45.0,340,30,5,5,0,Лит. пр.,Панельный,Балкон,56.9007667,24.2158223,0
361,центр,Гертрудес 91,3,80.0,450,30,2,6,0,Дов. дом,Кирпичный,,56.9504442,24.135687,0
362,Чиекуркалнс,Чиекуркална 3 п. л. 23,3,69.0,350,30,5,9,1,Спец. пр.,Кирпично-панельный,"Балкон, Лоджия, Парковочное место",56.98557,24.1680999,0
363,центр,Чака 30a,2,38.0,600,30,4,6,1,Рекон.,Каменный,,56.9515935,24.1288306,0
364,Дарзциемс,Ницгалес 40,1,36.0,250,30,4,5,0,Спец. пр.,Кирпично-панельный,,56.9476194,24.171383,0
365,центр,Авоту 53,3,93.0,600,30,2,4,0,Дов. дом,Каменный,,56.952457,24.1403721,0
366,Плявниеки,Ясмуйжас 3,3,62.0,280,30,1,9,0,602-я,Панельный,Балкон,56.9376953,24.2093368,0
367,Кенгарагс,Маскавас 256,2,43.0,330,30,4,5,0,Хрущ.,Панельный,Балкон,56.910251,24.1761644,0
368,центр,Валмиерас 3,1,35.0,369,30,2,4,0,Рекон.,Кирпичный,Парковочное место,56.94760875854415,24.14309220418038,0
369,Иманта,Даммес 2,1,34.0,300,30,9,9,1,602-я,Кирпично-панельный,Лоджия,56.9623052,24.0159201,0
370,Пурвциемс,Илукстес 54k7,1,43.0,200,30,5,5,0,М. сем.,Панельный,"Лоджия, Парковочное место",56.949596974581496,24.20418268873519,0
371,Пурвциемс,Илукстес 46,1,46.0,350,30,8,12,1,104-я,Кирпично-панельный,Терраса,56.9490805,24.1995934,0
372,центр,Пернавас 49,1,24.0,230,30,4,4,0,Ч. дом,Кирпичный,,56.954347,24.1537465,0
373,Саркандаугава,Твайка 56,2,52.0,380,30,3,3,0,Сталинка,Кирпичный,"Балкон, Парковочное место",57.0124585,24.1251802,0
374,центр,Рупниецибас 44,2,44.0,860,30,5,7,1,Нов.,Каменный,Парковочное место,56.9663769,24.1048109,0
375,центр,Зирню 5,3,59.0,400,30,1,9,1,467-я,Панельный,Лоджия,56.973014157756275,24.132622644328354,0
376,Межциемс,Бикерниеку 258,1,38.0,250,30,1,2,0,Спец. пр.,Кирпичный,Парковочное место,56.9618164,24.3038818,0
377,Межциемс,Кайвас 50,3,80.0,750,30,2,5,1,Нов.,Панельно-кирпичный,"Лоджия, Парковочное место",56.9558931,24.2451677,0
378,Вецрига,Вецпилсетас 17,1,61.0,540,30,5,5,0,Дов. дом,Каменный,Балкон,56.946211,24.1117156,0
379,центр,Чака 44,1,30.0,210,7,1,6,0,Дов. дом,Каменный,,56.9535801,24.1318057,0
380,Зиепниеккалнс,Грауду 56,2,55.0,330,30,2,2,0,Рекон.,Деревянный,Парковочное место,56.9097782,24.0861842,0
381,Дарзциемс,Дарзциема 68,1,29.0,230,30,2,4,0,Спец. пр.,Кирпичный,,56.9369041,24.1813656,0
382,р-н ул.Краста,Греду 1,3,65.0,350,30,2,5,0,Хрущ.,Кирпично-панельный,"Балкон, Парковочное место",56.9335621,24.1526936,0
383,Пурвциемс,Сактас 1a,2,57.0,490,30,2,3,0,Нов.,Каменный,"Балкон, Лоджия, Парковочное место",56.9554892,24.1698488,0
384,центр,Звайгжню 27,1,24.0,250,30,3,5,0,Дов. дом,Каменный,,56.9613177,24.1499074,0
385,Золитуде,Золитудес 46,2,54.0,30,30,4,9,0,119-я,Панельный,Лоджия,56.94172,24.0048887,0
386,центр,Гростонас 19,2,58.0,650,30,9,10,0,Нов.,Панельный,"Балкон, Парковочное место",56.9706612,24.1246825,0
387,Дарзциемс,Яунрозес 9,2,48.0,400,30,3,3,0,Спец. пр.,Кирпичный,,56.9458622,24.1666136,0
388,Агенскалнс,Астрас 11а,3,100.0,60,1,1,2,0,Ч. дом,Кирпичный,"Терраса, Парковочное место",56.9304199,24.0535517,0
389,центр,Рудолфа 1,1,28.0,280,30,3,6,0,Дов. дом,Каменный,,56.96197647447659,24.152042909985354,0
390,центр,Бривибас 60,2,60.0,360,30,1,2,0,Спец. пр.,Кирпично-панельный,Парковочное место,56.956384,24.1223364,0
391,Дарзциемс,Зундану 5,3,62.0,400,30,2,9,1,602-я,Панельный,"Балкон, Парковочное место",56.9299268,24.1750341,0
392,Зиепниеккалнс,Валдекю 62,1,36.0,200,30,5,9,1,602-я,Панельный,"Лоджия, Парковочное место",56.9010453,24.0939644,0
393,Саркандаугава,Зиемелю 17,1,29.0,185,30,1,4,0,Дов. дом,Кирпичный,,56.9676941,24.1056221,0
394,центр,Стабу 21,3,90.0,530,30,3,5,0,Дов. дом,Каменный,,56.9573623,24.1266418,0
395,Агенскалнс,Мартиня 8a,3,87.0,790,30,6,6,1,Рекон.,Каменный,Парковочное место,56.9476772,24.0711456,0
396,Иманта,Курземес пр. 98,1,36.0,260,30,2,9,0,602-я,Кирпично-панельный,Лоджия,56.9688324,24.0125627,0
397,Вецмилгравис,Мелидас 6,2,38.0,250,30,3,5,0,Лит. пр.,Панельный,Лоджия,57.030047,24.107415,0
398,Ильгюциемс,Цемента 18,2,48.0,250,30,3,5,0,Лит. пр.,Панельный,Лоджия,56.9700265,24.0573167,0
399,Агенскалнс,Ранькя Д. 34,5,170.0,2900,30,16,22,1,Нов.,Каменный,"Балкон, Терраса, Парковочное место",56.9482005,24.0776187,0
400,Тейка,Ропажу 45,1,12.0,170,30,1,5,0,Хрущ.,Кирпичный,,56.97975248292741,24.178639959895797,0
401,р-н ул.Краста,Салацас 1,1,33.0,280,30,3,4,0,Дов. дом,Кирпичный,Парковочное место,56.9304443,24.1685147,1
402,р-н ул.Краста,Салацас 1,1,40.0,330,30,2,4,0,Дов. дом,Кирпичный,Парковочное место,56.9304443,24.1685147,1
403,р-н ул.Краста,Салацас 1,1,38.0,320,30,4,4,0,Дов. дом,Кирпичный,Парковочное место,56.9304443,24.1685147,1
404,Болдерая,Гобас 20,1,39.0,230,30,7,10,1,Спец. пр.,Кирпичный,Лоджия,57.0296782,24.0528664,0
405,Кенгарагс,Аглонас 14,1,33.0,250,30,4,5,0,Хрущ.,Панельный,,56.91102693906924,24.18675416714155,0
406,Тейка,Бривибас гатве 308,2,47.0,350,30,4,4,0,Дов. дом,Каменный,Парковочное место,56.9783494,24.1843769,0
407,Шампетерис-Плескодале,Засулаука 28,1,20.0,350,30,1,1,0,Спец. пр.,Каменный,"Терраса, Парковочное место",56.9445608,24.0386523,0
408,центр,Бривибас 46,5,180.0,2800,30,4,6,1,Рекон.,Каменный,Балкон,56.9551762,24.1198314,0
409,Кенгарагс,Прушу 3,1,30.0,240,30,5,5,0,Лит. пр.,Панельный,,56.9169254,24.1841967,0
410,Кенгарагс,Саласпилс 12,1,30.0,30,1,4,5,0,Лит. пр.,Панельный,Балкон,56.92053782695099,24.18178644304043,0
411,Иманта,Юрмалас Г. 82,1,38.0,430,30,8,9,1,Нов.,Панельный,Балкон,56.95251,24.0079542,0
412,Межциемс,Эйзенштейна 57,3,62.0,500,30,3,9,1,602-я,Панельный,,56.9634347,24.2351074,0
413,Болдерая,Финиера 17,1,39.0,220,30,4,9,1,Спец. пр.,Кирпичный,"Лоджия, Парковочное место",57.0277654,24.0525709,0
414,Тейка,Раунас 58 k-2,2,53.2,600,30,1,3,0,Сталинка,Каменный,,56.9675546793367,24.18749141880239,0
415,Кенгарагс,Маскавас 285 k-5,2,37.0,300,30,2,5,0,Лит. пр.,Панельный,Балкон,56.9169676,24.1760423,0
416,Биерини,Ливес 8,2,40.0,300,30,1,1,0,Дов. дом,Кирпичный,Парковочное место,56.9676941,24.1056221,0
417,Тейка,Баяру 8,3,58.0,660,30,1,2,0,Рекон.,Кирпично-панельный,"Терраса, Парковочное место",56.9744645,24.1767908,0
418,центр,Авоту 4,1,20.0,440,30,4,5,0,Рекон.,Кирпичный,,56.9507634,24.1275823,0
419,центр,Масту 6,1,26.0,250,30,2,5,0,Хрущ.,Кирпичный,,56.97020520657518,24.100405022030642,0
420,Югла,Лиепкална 9,1,30.0,250,30,1,1,0,Спец. пр.,Кирпичный,Парковочное место,56.972272,24.2681628,0
421,Зиепниеккалнс,Баускас 51,2,40.0,320,30,3,5,0,Рекон.,Кирпичный,Парковочное место,56.9178787,24.1031615,0
422,Вецрига,Яуниела 21,3,55.0,700,30,4,5,0,Рекон.,Каменный,Балкон,56.9487587,24.1059487,0
423,Саркандаугава,Саркандаугавас 26,2,41.0,200,30,3,5,0,Хрущ.,Кирпичный,,57.0012086,24.125272,0
424,центр,Блауманя 31,3,100.0,290,30,1,5,0,Дов. дом,Каменный,Парковочное место,56.9515437,24.1266431,0
425,Агенскалнс,Грегора 2a,2,51.0,700,30,4,6,1,Нов.,Каменный,Балкон,56.9453263,24.0536908,0
426,центр,Клияну 6,1,35.0,420,30,5,9,1,Нов.,Панельно-кирпичный,"Терраса, Парковочное место",56.972567,24.149309,0
427,центр,Ганибу Д. 13,2,50.0,580,30,5,6,0,Нов.,Панельно-кирпичный,Парковочное место,56.9731463,24.1100235,0
428,центр,Ганибу Д. 13,3,70.0,680,30,5,6,0,Нов.,Кирпично-панельный,"Терраса, Парковочное место",56.9731463,24.1100235,0
429,Зиепниеккалнс,Саулкалнес 16,1,32.0,295,30,1,4,0,Хрущ.,Кирпичный,Парковочное место,56.9139488,24.098473,0
430,Плявниеки,Дзеню 1,2,50.0,45,1,5,9,1,602-я,Панельный,,56.9408046,24.2088118,0
431,Агенскалнс,Кристапа 8a,1,12.0,220,30,1,4,0,Хрущ.,Кирпично-панельный,,56.9430546,24.0610425,0
432,Агенскалнс,Валентина 16,1,36.0,420,30,2,3,1,Рекон.,Кирпичный,,56.940971,24.0537817,0
433,центр,Маскавас 38,2,49.0,400,30,4,6,0,Рекон.,Кирпично-панельный,Парковочное место,56.9398783,24.121915,0
434,Тейка,Куршу 25,1,18.0,280,30,3,3,0,Сталинка,Каменный,,56.9801311,24.1926191,0
435,Вецмилгравис,Домбровска 75,2,55.0,350,30,3,5,0,103-я,Кирпично-панельный,Лоджия,57.0370618,24.0947851,0
436,р-он ул. Маскавас,Садовникова 31,1,26.0,312,30,3,7,1,Нов.,Панельно-кирпичный,"Балкон, Парковочное место",56.9414709,24.1342165,0
437,р-он ул. Маскавас,Краславас 30,2,35.0,409,30,2,6,1,Нов.,Панельно-кирпичный,"Балкон, Парковочное место",56.9447359,24.1348878,0
438,центр,Алберта 11,2,55.0,200,30,3,6,0,Дов. дом,Каменный,,56.9591593,24.1086584,0
439,Зиепниеккалнс,Ливциема 49,1,35.0,240,30,1,9,0,602-я,Панельный,"Лоджия, Парковочное место",56.9035367,24.1022816,0
440,Зиепниеккалнс,Озолциема 28,2,50.0,400,30,9,9,1,602-я,Панельный,Лоджия,56.8993465,24.0965117,0
441,центр,Чака 92,2,65.0,49,1,3,5,1,Нов.,Панельный,Лоджия,56.9572961,24.1387713,1
442,центр,Госпиталю 38,2,45.0,450,30,2,7,0,Рекон.,Каменный,,56.9750176,24.138708,0
443,центр,Цесу 5,2,48.0,450,30,4,6,0,Дов. дом,Каменный,Парковочное место,56.9640257,24.1373856,0
444,центр,Меркеля 3,1,38.0,380,30,4,5,0,Дов. дом,Каменный,,56.94848458938684,24.11947445576577,0
445,центр,Дзирнаву 8,1,30.0,240,30,2,3,0,Дов. дом,Каменный,,56.9610925,24.1077811,0
446,Агенскалнс,Мукусалас 29,2,80.0,1250,30,4,4,1,Рекон.,Каменный,Парковочное место,56.9371114,24.1020828,0
447,Тейка,Ропажу 14 k-1,2,48.0,650,30,8,9,1,Нов.,Панельный,"Балкон, Парковочное место",56.9767291,24.1676881,0
448,Югла,Малиенас 72,2,45.0,320,30,1,5,0,Хрущ.,Панельный,Парковочное место,56.9755832,24.2516298,0
449,Дзегужкалнс,Слокас 59,1,42.0,350,30,2,8,0,Нов.,Кирпично-панельный,Парковочное место,56.9563081,24.0621567,0
